ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
630,find,2017-04-07 08:16:00,claus ibsen,['documentation']
631,find,2017-04-07 08:16:00,claus ibsen,['documentation']
632,find,2017-04-07 08:16:00,claus ibsen,['documentation']
633,find,2017-04-07 08:16:00,claus ibsen,['documentation']
634,find,2017-04-07 08:16:00,claus ibsen,['documentation']
635,find,2017-04-07 08:16:00,claus ibsen,['documentation']
636,find,2017-04-07 08:16:00,claus ibsen,['documentation']
637,find,2017-04-07 08:16:00,claus ibsen,['documentation']
638,find,2017-04-07 08:16:00,claus ibsen,['documentation']
639,work,2017-04-07 08:49:00,claus ibsen,
640,need,2017-04-07 08:49:00,claus ibsen,['release']
641,work,2017-04-07 09:07:00,tadayoshi,['oops']
642,work,2017-04-07 09:07:00,tadayoshi,['oops']
643,pull,2017-04-10 11:25:00,asf github,['tadayosi']
644,request,2017-04-10 11:25:00,asf github,['pull']
645,fix,2017-04-10 11:25:00,asf github,['upgrade']
646,merge,2017-04-10 11:25:00,asf github,['karaf']
647,pull,2017-04-10 11:25:00,asf github,['tadayosi']
648,request,2017-04-10 11:25:00,asf github,['pull']
649,pull,2017-04-10 11:25:00,asf github,['tadayosi']
650,apply,2017-04-10 11:25:00,asf github,['review']
651,patch,2017-04-10 11:25:00,asf github,['change']
652,close,2017-04-10 11:25:00,asf github,['change']
653,pull,2017-04-10 11:25:00,asf github,['tadayosi']
654,request,2017-04-10 11:25:00,asf github,['pull']
655,make,2017-04-10 11:25:00,asf github,['pull']
656,commit,2017-04-10 11:25:00,asf github,['request']
657,commit,2017-04-10 11:25:00,asf github,['request']
658,close,2017-04-10 11:25:00,asf github,['change']
659,commit,2017-04-10 11:25:00,asf github,['request']
660,fix,2017-04-10 11:25:00,asf github,['upgrade']
661,pull,2017-04-10 13:14:00,asf github,['tadayosi']
662,request,2017-04-10 13:14:00,asf github,['pull']
663,pull,2017-04-11 01:45:00,asf github,['igarashitm']
664,request,2017-04-11 01:45:00,asf github,['pull']
665,merge,2017-04-11 01:45:00,asf github,['htmlunitversion']
666,pull,2017-04-11 01:45:00,asf github,['igarashitm']
667,request,2017-04-11 01:45:00,asf github,['pull']
668,pull,2017-04-11 01:45:00,asf github,['igarashitm']
669,apply,2017-04-11 01:45:00,asf github,['review']
670,patch,2017-04-11 01:45:00,asf github,['change']
671,close,2017-04-11 01:45:00,asf github,['change']
672,pull,2017-04-11 01:45:00,asf github,['igarashitm']
673,request,2017-04-11 01:45:00,asf github,['pull']
674,make,2017-04-11 01:45:00,asf github,['pull']
675,commit,2017-04-11 01:45:00,asf github,['request']
676,commit,2017-04-11 01:45:00,asf github,['request']
677,close,2017-04-11 01:45:00,asf github,['change']
678,commit,2017-04-11 01:45:00,asf github,['request']
679,pull,2017-04-11 06:48:00,asf github,['igarashitm']
680,request,2017-04-11 06:48:00,asf github,['pull']
681,pull,,asf github,['igarashitm']
682,request,,asf github,['pull']
683,fix,2017-04-07 08:49:00,claus ibsen,['version']
684,fix,,claus ibsen,['version']
685,resolve,2017-04-07 08:50:00,claus ibsen,['resolve']
686,work,2017-04-07 08:50:00,claus ibsen,['resolve']
687,open,2017-04-07 08:50:00,claus ibsen,['work']
688,work,2017-04-07 09:26:00,,['work']
689,work,,,['work']
690,fix,2017-04-07 08:51:00,,['version']
691,fix,,,['version']
692,fix,2017-04-07 08:52:00,,['fix']
693,fix,,,['fix']
694,fix,2017-04-07 08:52:00,claus ibsen,['version']
695,make,2017-04-07 13:55:00,,['improvement']
696,get,2017-04-07 13:55:00,,['camel']
697,run,2017-04-07 13:55:00,,['test']
698,make,,,['improvement']
699,get,,,['camel']
700,run,,,['test']
701,fix,2017-04-07 08:52:00,claus ibsen,['version']
702,fix,,claus ibsen,['version']
703,work,2017-04-07 08:53:00,claus ibsen,['zookeepermaster']
704,work,,claus ibsen,['zookeepermaster']
705,fix,2017-04-07 11:04:00,claus ibsen,['fix']
706,do,2017-04-07 11:52:00,zoran regvart,
707,think,2017-04-07 11:52:00,zoran regvart,['router']
708,think,2017-04-07 11:52:00,zoran regvart,['router']
709,request,2017-04-07 11:52:00,zoran regvart,['option']
710,implement,2017-04-07 11:52:00,zoran regvart,['support']
711,do,2017-04-07 11:52:00,zoran regvart,
712,see,2017-04-07 11:52:00,zoran regvart,['camel']
713,need,2017-04-07 11:52:00,zoran regvart,['camel']
714,comment,2017-04-07 12:21:00,zoran regvart,['comment']
715,do,2017-04-07 12:21:00,zoran regvart,['pm']
716,think,2017-04-07 12:21:00,zoran regvart,['router']
717,think,2017-04-07 12:21:00,zoran regvart,['router']
718,request,2017-04-07 12:21:00,zoran regvart,['option']
719,implement,2017-04-07 12:21:00,zoran regvart,['support']
720,do,2017-04-07 12:21:00,zoran regvart,['pm']
721,see,2017-04-07 12:21:00,zoran regvart,['camel']
722,need,2017-04-07 12:21:00,zoran regvart,['camel']
723,do,2017-04-07 12:21:00,zoran regvart,['pm']
724,think,2017-04-07 12:21:00,zoran regvart,['router']
725,think,2017-04-07 12:21:00,zoran regvart,['router']
726,request,2017-04-07 12:21:00,zoran regvart,['option']
727,implement,2017-04-07 12:21:00,zoran regvart,['support']
728,do,2017-04-07 12:21:00,zoran regvart,['pm']
729,see,2017-04-07 12:21:00,zoran regvart,['camel']
730,need,2017-04-07 12:21:00,zoran regvart,['camel']
731,comment,,zoran regvart,['comment']
732,do,,zoran regvart,['pm']
733,think,,zoran regvart,['router']
734,think,,zoran regvart,['router']
735,request,,zoran regvart,['option']
736,implement,,zoran regvart,['support']
737,do,,zoran regvart,['pm']
738,see,,zoran regvart,['camel']
739,need,,zoran regvart,['camel']
740,do,,zoran regvart,['pm']
741,think,,zoran regvart,['router']
742,think,,zoran regvart,['router']
743,request,,zoran regvart,['option']
744,implement,,zoran regvart,['support']
745,do,,zoran regvart,['pm']
746,see,,zoran regvart,['camel']
747,need,,zoran regvart,['camel']
748,fix,2017-04-07 11:05:00,claus ibsen,['fix']
749,fix,,claus ibsen,['fix']
750,fix,2017-04-07 11:05:00,claus ibsen,['fix']
751,fix,,claus ibsen,['fix']
752,fix,2017-04-07 11:05:00,claus ibsen,['fix']
753,fix,,claus ibsen,['fix']
754,fix,2017-04-07 11:06:00,claus ibsen,['fix']
755,fix,,claus ibsen,['fix']
756,fix,2017-04-07 11:06:00,claus ibsen,['version']
757,fix,,claus ibsen,['version']
758,open,2017-04-07 11:10:00,sergey beryozkin,['issue']
759,open,2017-04-07 11:10:00,sergey beryozkin,['issue']
760,open,,sergey beryozkin,['issue']
761,open,,sergey beryozkin,['issue']
762,fix,2017-04-07 11:07:00,claus ibsen,['fix']
763,fix,,claus ibsen,['fix']
764,create,2017-04-07 11:50:00,andrea cosentino,['summary']
765,create,,andrea cosentino,['summary']
766,fix,2017-04-07 12:26:00,,['fix']
767,work,2017-04-07 12:26:00,,['work']
768,work,,,['work']
